subject_id,motion,record_id,feature,condition,value
p14,Global,hook_right_p14_Global_001_similarity_matrix,Acceleration,Post,0.056024020916120035
p14,Global,jap_p14_Global_similarity_matrix,Acceleration,Post,0.05601528618938417
p14,Global,straight_p14_Global_003_similarity_matrix,Acceleration,Post,0.048541540191722035
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Acceleration,Post,0.05044737163768222
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Acceleration,Post,0.05178315821259074
p14,Global,hook_left_p14_Global_002_similarity_matrix,Core,Pre,0.4646807198624855
p14,Global,hook_right_p14_Global_001_similarity_matrix,Core,Pre,0.39403600408657274
p14,Global,jap_p14_Global_similarity_matrix,Core,Pre,0.4889976386682068
p14,Global,straight_p14_Global_003_similarity_matrix,Core,Pre,0.47727588866285664
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Core,Pre,0.4557478205850856
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Core,Pre,0.44509324093614977
p14,Global,hook_left_p14_Global_002_similarity_matrix,Core,Main,0.45337492048244016
p14,Global,hook_right_p14_Global_001_similarity_matrix,Core,Main,0.3961478464424566
p14,Global,jap_p14_Global_similarity_matrix,Core,Main,0.4091858255755256
p14,Global,straight_p14_Global_003_similarity_matrix,Core,Main,0.45675989028109387
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Core,Main,0.4562947710721936
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Core,Main,0.45854536935426826
p14,Global,hook_left_p14_Global_002_similarity_matrix,Core,Post,0.4560215515674287
p14,Global,hook_right_p14_Global_001_similarity_matrix,Core,Post,0.3554476712030922
p14,Global,jap_p14_Global_similarity_matrix,Core,Post,0.435759709017435
p14,Global,straight_p14_Global_003_similarity_matrix,Core,Post,0.4554480731065544
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Core,Post,0.4574603086692126
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Core,Post,0.4521105468398491
p14,Global,hook_left_p14_Global_002_similarity_matrix,Head,Pre,0.3453264246726188
p14,Global,hook_right_p14_Global_001_similarity_matrix,Head,Pre,0.23364203796149097
p14,Global,jap_p14_Global_similarity_matrix,Head,Pre,0.36305351325102003
p14,Global,straight_p14_Global_003_similarity_matrix,Head,Pre,0.24466399575404568
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Head,Pre,0.31035024557127755
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Head,Pre,0.33314720941567866
p14,Global,hook_left_p14_Global_002_similarity_matrix,Head,Main,0.3254441692463384
p14,Global,hook_right_p14_Global_001_similarity_matrix,Head,Main,0.25318529782000837
p14,Global,jap_p14_Global_similarity_matrix,Head,Main,0.32146688807145585
p14,Global,straight_p14_Global_003_similarity_matrix,Head,Main,0.27866180359336445
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Head,Main,0.3420346364513443
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Head,Main,0.29838238291805
p14,Global,hook_left_p14_Global_002_similarity_matrix,Head,Post,0.3315212364009512
p14,Global,hook_right_p14_Global_001_similarity_matrix,Head,Post,0.22353790315997193
p14,Global,jap_p14_Global_similarity_matrix,Head,Post,0.33044801615295183
p14,Global,straight_p14_Global_003_similarity_matrix,Head,Post,0.2656254062724078
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Head,Post,0.3363864220499401
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Head,Post,0.29012033659657044
p14,Global,hook_left_p14_Global_002_similarity_matrix,Joint Angle,Pre,0.5390805965119951
p14,Global,hook_right_p14_Global_001_similarity_matrix,Joint Angle,Pre,0.47545071656406385
p14,Global,jap_p14_Global_similarity_matrix,Joint Angle,Pre,0.44423245266408473
p14,Global,straight_p14_Global_003_similarity_matrix,Joint Angle,Pre,0.5607736895380586
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Joint Angle,Pre,0.5888749921212998
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Joint Angle,Pre,0.5036560440045725
p14,Global,hook_left_p14_Global_002_similarity_matrix,Joint Angle,Main,0.5578025455860739
p14,Global,hook_right_p14_Global_001_similarity_matrix,Joint Angle,Main,0.5038185653976154
p14,Global,jap_p14_Global_similarity_matrix,Joint Angle,Main,0.5287776685821872
p14,Global,straight_p14_Global_003_similarity_matrix,Joint Angle,Main,0.5684901383141361
p14,Global,uppercut_left_p14_Global_003_similarity_matrix,Joint Angle,Main,0.6118556846392953
p14,Global,uppercut_right_p14_Global_002_similarity_matrix,Joint Angle,Main,0.483192273689999
p14,Global,hook_left_p14_Global_002_similarity_matrix,Joint Angle,Post,0.5542770768819005
